[Sat Aug 18 01:19:30 2012] common.cc           (00051) RegisterComponents():  registering built-in components
[Sat Aug 18 01:19:58 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/cangjie5.schema.yaml'.
[Sat Aug 18 01:19:58 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/luna_pinyin_fluency.schema.yaml'.
[Sat Aug 18 01:19:58 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/wubi_pinyin.schema.yaml'.
[Sat Aug 18 01:19:58 2012] switcher.cc         (00208)         Activate():  Exiting function , Activate
[Sat Aug 18 01:20:09 2012] switcher.cc         (00196)         OnSelect():  Entering function , OnSelect
[Sat Aug 18 01:20:09 2012] config.cc           (00411)     LoadFromFile():  loading config file '/home/alycolas/.config/fcitx/rime/wubi_pinyin.schema.yaml'.
[Sat Aug 18 01:20:09 2012] engine.cc           (00112)   OnOptionUpdate():  option = 'auto_commit'
[Sat Aug 18 01:20:09 2012] dictionary.cc       (00267)             Load():  Entering function , Load
[Sat Aug 18 01:20:09 2012] table.cc            (00195)             Load():  Load file: /home/alycolas/.config/fcitx/rime/wubi86.table.bin
[Sat Aug 18 01:20:09 2012] mapped_file.cc      (00116)     OpenReadOnly():  Error: attempt to open non-existent file '/home/alycolas/.config/fcitx/rime/wubi86.table.bin'.
[Sat Aug 18 01:20:09 2012] table.cc            (00201)             Load():  Error opening table file '/home/alycolas/.config/fcitx/rime/wubi86.table.bin'.
[Sat Aug 18 01:20:09 2012] dictionary.cc       (00269)             Load():  Error loading table for dictionary 'wubi86'.
[Sat Aug 18 01:20:09 2012] dictionary.cc       (00267)             Load():  Exiting function , Load
[Sat Aug 18 01:20:09 2012] engine.cc           (00112)   OnOptionUpdate():  option = 'ascii_mode'
[Sat Aug 18 01:20:09 2012] config.cc           (00316)          SetItem():  key = 'var/previously_selected_schema'
[Sat Aug 18 01:20:09 2012] switcher.cc         (00196)         OnSelect():  Exiting function , OnSelect
[Sat Aug 18 01:20:11 2012] dictionary.cc       (00267)             Load():  Entering function , Load
[Sat Aug 18 01:20:11 2012] table.cc            (00195)             Load():  Load file: /home/alycolas/.config/fcitx/rime/pinyin_simp.table.bin
[Sat Aug 18 01:20:11 2012] mapped_file.cc      (00116)     OpenReadOnly():  Error: attempt to open non-existent file '/home/alycolas/.config/fcitx/rime/pinyin_simp.table.bin'.
[Sat Aug 18 01:20:11 2012] table.cc            (00201)             Load():  Error opening table file '/home/alycolas/.config/fcitx/rime/pinyin_simp.table.bin'.
[Sat Aug 18 01:20:11 2012] dictionary.cc       (00269)             Load():  Error loading table for dictionary 'pinyin_simp'.
